customer_id,tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,tech_support,streaming_tv,paperless_billing,senior_citizen,partner,dependents,phone_service,multiple_lines,churn
1,52,119.40816546455756,5752.9463359246365,Month-to-month,Electronic check,DSL,Yes,Yes,No,No,1,Yes,Yes,No,No phone service,1
2,15,21.107855259430966,5800.454556071712,Two year,Bank transfer,No,No,Yes,Yes,No,0,No,Yes,No,No,0
3,61,93.01734533106766,2330.9371698360333,Month-to-month,Mailed check,No,No internet service,Yes,No internet service,No,1,No,Yes,Yes,No phone service,1
4,21,77.17893159359805,6698.921040781756,Two year,Bank transfer,No,No,No,No,No,1,Yes,No,No,Yes,0
5,24,63.40521760809567,2603.0750548376072,Month-to-month,Electronic check,DSL,No internet service,No internet service,No internet service,No,1,Yes,No,Yes,Yes,0
6,3,32.75701745713709,5828.235679493684,Two year,Mailed check,No,No internet service,No,Yes,No,1,Yes,No,No,No phone service,0
7,22,60.908514863487625,1055.8981633453247,One year,Electronic check,Fiber optic,Yes,No internet service,No,No,1,Yes,No,No,Yes,0
8,53,55.43771829861353,1432.7429781495907,One year,Electronic check,No,No internet service,No internet service,Yes,No,0,No,Yes,Yes,No,0
9,2,50.28298889787422,2594.785591615184,One year,Credit card,DSL,No,Yes,No,No,1,Yes,No,No,Yes,0
10,30,93.08796233222077,4791.602764576106,Month-to-month,Electronic check,Fiber optic,No,No,Yes,No,1,No,Yes,No,No,1
11,38,90.07255212842638,5199.540735281725,Two year,Bank transfer,Fiber optic,Yes,Yes,No,No,0,Yes,No,No,No phone service,0
12,2,78.90200909809116,3231.2137585430514,Two year,Bank transfer,Fiber optic,No internet service,No,No,No,0,No,No,No,No phone service,1
13,64,113.86648132933722,714.9293095730609,One year,Bank transfer,No,No,No,No,Yes,1,Yes,Yes,No,Yes,0
14,60,54.985438418085444,3051.7137515325217,One year,Mailed check,DSL,Yes,Yes,No internet service,No,0,Yes,Yes,Yes,No phone service,0
15,21,44.38019377101796,5541.263376077297,One year,Credit card,DSL,No,No,Yes,Yes,0,Yes,No,Yes,No phone service,0
16,33,85.59033130983995,5400.864142929496,Two year,Credit card,No,Yes,Yes,Yes,Yes,1,Yes,No,No,No,0
17,58,39.881406093740296,1365.5516643229978,One year,Electronic check,DSL,No,No internet service,No,Yes,0,No,No,Yes,No,0
18,22,51.50105071834246,161.49336512484052,Month-to-month,Electronic check,Fiber optic,No internet service,Yes,No internet service,No,1,Yes,No,Yes,No phone service,0
19,49,42.460244007488484,6048.554776639323,One year,Credit card,Fiber optic,No,No,No,No,0,No,No,No,Yes,0
20,59,26.915356771850124,940.3085144434253,One year,Mailed check,DSL,No,No,Yes,No,1,No,Yes,No,Yes,0
21,42,102.74987416356734,750.5582373178554,Two year,Bank transfer,DSL,Yes,No internet service,Yes,No,1,Yes,Yes,Yes,Yes,0
22,60,45.45405429216612,121.33961298989139,Month-to-month,Electronic check,No,Yes,No internet service,No,Yes,0,Yes,Yes,No,No phone service,0
23,15,67.30275033430206,3517.550475059725,Two year,Credit card,No,Yes,No internet service,No,Yes,0,No,Yes,Yes,Yes,0
24,62,24.331527325431196,4075.7848171164337,Month-to-month,Mailed check,No,No,Yes,No,No,1,Yes,Yes,Yes,Yes,0
25,62,89.93394662526431,5137.545964573866,Month-to-month,Bank transfer,No,Yes,Yes,Yes,No,1,No,Yes,No,No phone service,1
26,47,53.056100230629085,2438.904341629428,One year,Electronic check,No,No internet service,No,No,No,0,Yes,No,No,No,0
27,62,94.473672782921,5712.355259455561,One year,Bank transfer,No,Yes,No internet service,No,No,1,Yes,Yes,Yes,No,0
28,51,61.240306046786614,1437.7216735148384,Two year,Bank transfer,Fiber optic,Yes,No internet service,Yes,Yes,0,Yes,No,Yes,No phone service,0
